content,is_answer,question_id
さんじ,correct,1
にじ,incorrect,1
じゅうじ,incorrect,1
ろくじ,correct,2
にじはん,incorrect,2
しちじ,incorrect,2
ごじ,correct,3
いちじはん,incorrect,3
よじ,incorrect,3
いちじはん,correct,4
ごじはん,incorrect,4
よじはん,incorrect,4
じゅうじ,correct,5
じゅういちじ,incorrect,5
じゅうにじ,incorrect,5
じゅうにじ,correct,6
じゅうじ,incorrect,6
じゅういちじ,incorrect,6
じゅういちじ,correct,7
じゅうじ,incorrect,7
じゅうにじ,incorrect,7
さんじはん,correct,8
にじはん,incorrect,8
いちじじゅっぷん,incorrect,8
にじはん,correct,9
さんじはん,incorrect,9
いちじじゅっぷん,incorrect,9
くじよんじゅっぷん,correct,10
ろくじにじゅっぷん,incorrect,10
じゅうじじゅっぷん,incorrect,10
